title,arm,band,fits,app_id,year,base_type,familiarity,twist_present,max_novelty,twist_types,co_op,price,team_size,solo,is_sequel,is_licensed_IP,is_original,research_confidence,outcome_leaked,orig_fits,copies_m
JUJUTSU KAISEN CURSED CLASH,control,moderate,false,2409650,2024,established_videogame_genre_or_mode,3,true,2,co_op_social_layer | aesthetic_reframe,true,59.99,,false,false,true,false,4,false,,
Boneraiser Minions,control,moderate,true,,2023,established_videogame_genre_or_mode,3,true,3,mechanical_swap | genre_fusion | aesthetic_reframe,false,5,1,true,false,false,true,4,false,,
Killer Klowns from Outer Space: The Game,control,moderate,true,1957780,2023,established_videogame_genre_or_mode,3,true,3,aesthetic_reframe | co_op_social_layer | mechanical_swap,true,39.99,,false,false,true,false,4,true,,
Amid Evil,control,moderate,true,673370,2020,established_videogame_genre_or_mode,3,true,4,aesthetic_reframe | mechanical_swap | genre_fusion,false,19.99,5,false,false,false,true,4,false,,
Roguebook,control,moderate,true,1076200,2021,established_videogame_genre_or_mode,3,true,4,mechanical_swap | aesthetic_reframe | genre_fusion,false,24.99,,false,false,false,true,4,true,,
Vintage Story,control,moderate,true,1621930,2022,established_videogame_genre_or_mode,4,true,4,genre_fusion | aesthetic_reframe | accessibility_simplification,true,,5,false,false,false,true,3,false,,
Roots of Pacha,control,moderate,true,1461050,2024,established_videogame_genre_or_mode,4,true,4,aesthetic_reframe | mechanical_swap | co_op_social_layer,true,24.99,,false,false,false,true,4,true,,
Fae Farm,control,moderate,true,2230110,2023,established_videogame_genre_or_mode,4,true,4,genre_fusion | co_op_social_layer | aesthetic_reframe,true,39.99,,false,false,false,true,4,true,,
Volcanoids,control,moderate,true,598850,2020,established_videogame_genre_or_mode,3,true,4,mechanical_swap | co_op_social_layer | aesthetic_reframe,true,19.99,10,false,false,false,true,4,false,,
CULTIC,control,moderate,true,1684930,2022,established_videogame_genre_or_mode,3,true,3,aesthetic_reframe | physics_jank_emergence | genre_fusion,false,9.99,1,true,false,false,true,4,true,,
Turnip Boy Commits Tax Evasion,control,moderate,true,1055540,2021,established_videogame_genre_or_mode,4,true,4,aesthetic_reframe | mechanical_swap | price_or_scope_disruption | narrative_reframe,false,9.99,4,false,false,false,true,4,false,,
Wobbledogs,control,moderate,true,1229100,2021,established_videogame_genre_or_mode,5,true,4,physics_jank_emergence | mechanical_swap | aesthetic_reframe,false,19.99,1,true,false,false,true,4,false,,
Incursion Red River,control,moderate,true,2116120,2024,established_videogame_genre_or_mode,3,true,3,mechanical_swap | co_op_social_layer | aesthetic_reframe,true,21.99,,false,false,false,true,3,true,,
Volcanoids,control,moderate,true,453450,2020,established_videogame_genre_or_mode,3,true,4,mechanical_swap | aesthetic_reframe | genre_fusion,true,19.99,5,false,false,false,true,4,false,,
Nova Drift,control,moderate,true,667510,2022,established_videogame_genre_or_mode,5,true,4,genre_fusion | procedural_roguelike_layer | mechanical_swap,false,14.99,1,true,false,false,true,4,false,,
The Farmer Was Replaced,control,moderate,true,2060160,2024,established_videogame_genre_or_mode,3,true,4,genre_fusion | mechanical_swap | accessibility_simplification,false,9.99,1,true,false,false,true,4,true,,
Chernobylite,control,moderate,true,595650,2021,established_videogame_genre_or_mode,3,true,3,mechanical_swap | narrative_reframe | aesthetic_reframe,false,29.99,50,false,false,false,true,4,false,,
Daymare: 1998,control,moderate,false,552430,2020,established_videogame_genre_or_mode,3,true,2,mechanical_swap | narrative_reframe | mechanical_swap,false,29.99,10,false,false,false,true,4,true,,
Nova Drift,control,moderate,true,799600,2022,real_world_game,5,true,4,genre_fusion | procedural_roguelike_layer | mechanical_swap,false,9.99,1,true,false,false,true,4,false,,
The Dark Pictures Anthology: House of Ashes,control,moderate,true,1567620,2021,established_videogame_genre_or_mode,3,true,3,co_op_social_layer | genre_fusion | accessibility_simplification,true,29.99,,false,true,false,false,4,false,,
The Surge (rerelease traction 2020-era DLC),control,moderate,true,378540,2020,established_videogame_genre_or_mode,3,true,4,mechanical_swap | aesthetic_reframe,false,49.99,80,false,false,false,true,4,false,,
Volcanoids,control,moderate,true,636480,2020,established_videogame_genre_or_mode,3,true,4,mechanical_swap | aesthetic_reframe | genre_fusion,true,19.99,,false,false,false,true,4,true,,
Wreckfest 2 (Early Access),control,moderate,true,2887320,2025,established_videogame_genre_or_mode,3,true,3,mechanical_swap | co_op_social_layer | aesthetic_reframe | narrative_reframe,true,29.99,,false,true,false,false,4,false,,
Distant Worlds 2,control,moderate,true,1531540,2022,established_videogame_genre_or_mode,3,true,3,mechanical_swap | accessibility_simplification,false,49.99,15,false,true,false,false,3,false,,
CryoFall,control,moderate,true,829590,2021,established_videogame_genre_or_mode,4,true,3,aesthetic_reframe | mechanical_swap | accessibility_simplification,true,14.99,3,false,false,false,true,3,false,,
SurrounDead,control,moderate,false,,2022,established_videogame_genre_or_mode,3,true,2,aesthetic_reframe | price_or_scope_disruption | mechanical_swap,false,11.99,1,true,false,false,true,4,true,,
